Diwali Date-2020,,PM-2.5,Day-1,Year,Day,,
11/11/20 0:00,11/11/20 1:00,136.6,3-Day Pre Diwali,2020,3-Day Pre ,,sd =
11/11/20 1:00,11/11/20 2:00,113.94,3-Day Pre Diwali,2020,3-Day Pre ,,36.43907033
11/11/20 2:00,11/11/20 3:00,105.23,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 3:00,11/11/20 4:00,93.99,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 4:00,11/11/20 5:00,97.01,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 5:00,11/11/20 6:00,107.02,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 6:00,11/11/20 7:00,112.94,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 7:00,11/11/20 8:00,127.12,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 8:00,11/11/20 9:00,132.86,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 9:00,11/11/20 10:00,144.76,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 13:00,11/11/20 14:00,25.47,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 14:00,11/11/20 15:00,63.75,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 19:00,11/11/20 20:00,157.16,3-Day Pre Diwali,2020,3-Day Pre ,,
11/11/20 23:00,12/11/20 0:00,161.49,3-Day Pre Diwali,2020,3-Day Pre ,,
12/11/20 0:00,12/11/20 1:00,129.42,2-Day Pre Diwali,2020,2-Day Pre ,,32.99783629
12/11/20 3:00,12/11/20 4:00,105.34,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 4:00,12/11/20 5:00,96.13,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 5:00,12/11/20 6:00,93.02,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 6:00,12/11/20 7:00,94.48,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 7:00,12/11/20 8:00,91.96,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 8:00,12/11/20 9:00,115.37,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 10:00,12/11/20 11:00,103.78,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 11:00,12/11/20 12:00,100.02,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 12:00,12/11/20 13:00,85.15,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 13:00,12/11/20 14:00,26.49,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 14:00,12/11/20 15:00,23.67,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 15:00,12/11/20 16:00,52.73,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 16:00,12/11/20 17:00,61.24,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 18:00,12/11/20 19:00,86.13,2-Day Pre Diwali,2020,2-Day Pre ,,
12/11/20 20:00,12/11/20 21:00,143.96,2-Day Pre Diwali,2020,2-Day Pre ,,
13/11/20 0:00,13/11/20 1:00,131.25,1-Day Pre Diwali,2020,1-Day Pre ,,35.85518295
13/11/20 1:00,13/11/20 2:00,143.41,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 2:00,13/11/20 3:00,100.15,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 3:00,13/11/20 4:00,99.23,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 4:00,13/11/20 5:00,96.56,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 5:00,13/11/20 6:00,107.56,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 6:00,13/11/20 7:00,113.21,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 8:00,13/11/20 9:00,173.59,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 9:00,13/11/20 10:00,153.13,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 10:00,13/11/20 11:00,120.57,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 11:00,13/11/20 12:00,82.96,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 12:00,13/11/20 13:00,78.39,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 13:00,13/11/20 14:00,63.31,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 14:00,13/11/20 15:00,48.96,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 15:00,13/11/20 16:00,53.41,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 16:00,13/11/20 17:00,75.28,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 17:00,13/11/20 18:00,89.08,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 18:00,13/11/20 19:00,87.18,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 19:00,13/11/20 20:00,113.04,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 20:00,13/11/20 21:00,138.91,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 21:00,13/11/20 22:00,142.58,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 22:00,13/11/20 23:00,164.21,1-Day Pre Diwali,2020,1-Day Pre ,,
13/11/20 23:00,14/11/20 0:00,159.43,1-Day Pre Diwali,2020,1-Day Pre ,,
14/11/20 0:00,14/11/20 1:00,168.11,Diwali,2020,Diwali,,36.70053672
14/11/20 1:00,14/11/20 2:00,157.97,Diwali,2020,Diwali,,
14/11/20 2:00,14/11/20 3:00,118.51,Diwali,2020,Diwali,,
14/11/20 3:00,14/11/20 4:00,111.84,Diwali,2020,Diwali,,
14/11/20 4:00,14/11/20 5:00,108.71,Diwali,2020,Diwali,,
14/11/20 5:00,14/11/20 6:00,97.82,Diwali,2020,Diwali,,
14/11/20 6:00,14/11/20 7:00,95.59,Diwali,2020,Diwali,,
14/11/20 7:00,14/11/20 8:00,93.71,Diwali,2020,Diwali,,
14/11/20 8:00,14/11/20 9:00,98.55,Diwali,2020,Diwali,,
14/11/20 9:00,14/11/20 10:00,90.84,Diwali,2020,Diwali,,
14/11/20 10:00,14/11/20 11:00,87.73,Diwali,2020,Diwali,,
14/11/20 12:00,14/11/20 13:00,38.54,Diwali,2020,Diwali,,
14/11/20 13:00,14/11/20 14:00,46.59,Diwali,2020,Diwali,,
14/11/20 14:00,14/11/20 15:00,48.11,Diwali,2020,Diwali,,
14/11/20 15:00,14/11/20 16:00,81.87,Diwali,2020,Diwali,,
14/11/20 16:00,14/11/20 17:00,92.86,Diwali,2020,Diwali,,
14/11/20 17:00,14/11/20 18:00,95.17,Diwali,2020,Diwali,,
14/11/20 18:00,14/11/20 19:00,102.95,Diwali,2020,Diwali,,
14/11/20 19:00,14/11/20 20:00,95.91,Diwali,2020,Diwali,,
14/11/20 20:00,14/11/20 21:00,140.07,Diwali,2020,Diwali,,
14/11/20 21:00,14/11/20 22:00,168.57,Diwali,2020,Diwali,,
14/11/20 22:00,14/11/20 23:00,161.98,Diwali,2020,Diwali,,
14/11/20 23:00,15/11/20 0:00,149.29,1-Day Post Diwali,2020,1-Day Post ,,21.63217897
15/11/20 2:00,15/11/20 3:00,66.68,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 3:00,15/11/20 4:00,71.67,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 4:00,15/11/20 5:00,67.66,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 5:00,15/11/20 6:00,92.7,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 6:00,15/11/20 7:00,79.1,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 7:00,15/11/20 8:00,86.33,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 8:00,15/11/20 9:00,99.29,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 9:00,15/11/20 10:00,96.21,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 10:00,15/11/20 11:00,92.72,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 11:00,15/11/20 12:00,96.97,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 12:00,15/11/20 13:00,80.04,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 13:00,15/11/20 14:00,89.5,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 14:00,15/11/20 15:00,78.9,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 15:00,15/11/20 16:00,83.61,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 19:00,15/11/20 20:00,38.27,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 20:00,15/11/20 21:00,64.53,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 21:00,15/11/20 22:00,61.59,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 22:00,15/11/20 23:00,71.32,1-Day Post Diwali,2020,1-Day Post ,,
15/11/20 23:00,16/11/20 0:00,86.77,1-Day Post Diwali,2020,1-Day Post ,,
16/11/20 0:00,16/11/20 1:00,63.08,2-Day Post Diwali,2020,2-Day Post ,,14.64761224
16/11/20 1:00,16/11/20 2:00,71.65,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 2:00,16/11/20 3:00,72.9,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 3:00,16/11/20 4:00,83.06,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 4:00,16/11/20 5:00,72.76,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 5:00,16/11/20 6:00,74.18,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 6:00,16/11/20 7:00,66.53,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 7:00,16/11/20 8:00,58.34,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 8:00,16/11/20 9:00,62.38,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 9:00,16/11/20 10:00,54.09,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 10:00,16/11/20 11:00,58.14,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 11:00,16/11/20 12:00,50.93,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 12:00,16/11/20 13:00,35.77,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 13:00,16/11/20 14:00,29.74,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 14:00,16/11/20 15:00,34.67,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 15:00,16/11/20 16:00,49.64,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 16:00,16/11/20 17:00,68.25,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 17:00,16/11/20 18:00,68.63,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 18:00,16/11/20 19:00,71.48,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 19:00,16/11/20 20:00,76.36,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 20:00,16/11/20 21:00,69.94,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 21:00,16/11/20 22:00,73.33,2-Day Post Diwali,2020,2-Day Post ,,
16/11/20 22:00,16/11/20 23:00,81.66,2-Day Post Diwali,2020,2-Day Post ,,
17/11/20 0:00,17/11/20 1:00,45.9,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 1:00,17/11/20 2:00,33.6,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 2:00,17/11/20 3:00,30.97,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 3:00,17/11/20 4:00,50.18,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 4:00,17/11/20 5:00,46.58,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 5:00,17/11/20 6:00,43.63,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 6:00,17/11/20 7:00,49.47,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 7:00,17/11/20 8:00,52.8,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 8:00,17/11/20 9:00,64.44,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 9:00,17/11/20 10:00,72.73,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 10:00,17/11/20 11:00,69.6,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 11:00,17/11/20 12:00,82.29,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 13:00,17/11/20 14:00,23.8,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 14:00,17/11/20 15:00,29.89,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 15:00,17/11/20 16:00,44.18,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 16:00,17/11/20 17:00,62.35,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 17:00,17/11/20 18:00,58.55,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 18:00,17/11/20 19:00,65.29,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 19:00,17/11/20 20:00,58.97,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 20:00,17/11/20 21:00,74.95,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 21:00,17/11/20 22:00,73.89,3-Day Post Diwali,2020,3-Day Post ,,
17/11/20 22:00,17/11/20 23:00,93.81,3-Day Post Diwali,2020,3-Day Post ,,
24/10/19 0:00,24/10/19 1:00,137.42,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 1:00,24/10/19 2:00,109.09,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 2:00,24/10/19 3:00,91.26,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 3:00,24/10/19 4:00,68.16,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 4:00,24/10/19 5:00,57.75,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 5:00,24/10/19 6:00,64.84,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 6:00,24/10/19 7:00,74.69,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 7:00,24/10/19 8:00,65.2,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 8:00,24/10/19 9:00,99.37,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 9:00,24/10/19 10:00,100.37,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 10:00,24/10/19 11:00,105.82,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 11:00,24/10/19 12:00,85.95,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 12:00,24/10/19 13:00,81.56,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 13:00,24/10/19 14:00,47.51,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 14:00,24/10/19 15:00,47.53,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 15:00,24/10/19 16:00,74.65,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 18:00,24/10/19 19:00,38.58,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 19:00,24/10/19 20:00,70.07,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 20:00,24/10/19 21:00,81.32,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 21:00,24/10/19 22:00,91.38,3-Day Pre Diwali,2019,3-Day Pre ,,
24/10/19 22:00,24/10/19 23:00,86.55,3-Day Pre Diwali,2019,3-Day Pre ,,
25/10/19 0:00,25/10/19 1:00,90.96,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 1:00,25/10/19 2:00,99.15,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 2:00,25/10/19 3:00,109.45,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 3:00,25/10/19 4:00,107.03,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 4:00,25/10/19 5:00,108.25,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 6:00,25/10/19 7:00,146.71,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 7:00,25/10/19 8:00,152.67,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 8:00,25/10/19 9:00,166.76,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 9:00,25/10/19 10:00,144.01,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 10:00,25/10/19 11:00,142.07,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 11:00,25/10/19 12:00,125.49,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 12:00,25/10/19 13:00,108.81,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 14:00,25/10/19 15:00,77.52,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 15:00,25/10/19 16:00,81.17,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 16:00,25/10/19 17:00,77.17,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 17:00,25/10/19 18:00,72.25,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 18:00,25/10/19 19:00,85.57,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 19:00,25/10/19 20:00,95.95,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 20:00,25/10/19 21:00,103.57,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 21:00,25/10/19 22:00,114.42,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 22:00,25/10/19 23:00,103.61,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 23:00,26/10/19 0:00,108.83,2-Day Pre Diwali,2019,2-Day Pre ,,
26/10/19 0:00,26/10/19 1:00,109.46,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 1:00,26/10/19 2:00,92.1,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 2:00,26/10/19 3:00,96.48,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 3:00,26/10/19 4:00,87.56,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 4:00,26/10/19 5:00,92.41,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 6:00,26/10/19 7:00,107.36,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 7:00,26/10/19 8:00,108.84,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 8:00,26/10/19 9:00,117.7,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 9:00,26/10/19 10:00,107.99,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 10:00,26/10/19 11:00,72.49,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 11:00,26/10/19 12:00,89.27,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 12:00,26/10/19 13:00,65.78,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 14:00,26/10/19 15:00,22.94,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 15:00,26/10/19 16:00,24.48,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 16:00,26/10/19 17:00,42.47,1-Day Pre Diwali,2019,1-Day Pre ,,
